[05:14:45] [INFO] ============================================================
[05:14:45] [INFO] GAME LOG STARTED
[05:14:45] [INFO] ============================================================
[05:14:45] [INFO] Timestamp: 2026-01-18T05:14:45
[05:14:45] [INFO] Log file: I:/Загрузки/godot exe/game_log_20260118_051445.txt
[05:14:45] [INFO] Executable: I:/Загрузки/godot exe/Godot-Top-Down-Template.exe
[05:14:45] [INFO] OS: Windows
[05:14:45] [INFO] Debug build: false
[05:14:45] [INFO] Engine version: 4.3-stable (official)
[05:14:45] [INFO] Project: Godot Top-Down Template
[05:14:45] [INFO] ------------------------------------------------------------
[05:14:45] [INFO] [GameManager] GameManager ready
[05:14:45] [ENEMY] [Enemy1] Enemy spawned at (300, 350), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy2] Enemy spawned at (400, 550), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy3] Enemy spawned at (700, 750), health: 3, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy4] Enemy spawned at (800, 900), health: 3, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy5] Enemy spawned at (1700, 350), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy6] Enemy spawned at (1950, 450), health: 4, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy7] Enemy spawned at (1606.114, 893.8859), health: 4, behavior: PATROL, player_found: yes
[05:14:45] [ENEMY] [Enemy8] Enemy spawned at (1900, 1450), health: 2, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy9] Enemy spawned at (2100, 1550), health: 3, behavior: GUARD, player_found: yes
[05:14:45] [ENEMY] [Enemy10] Enemy spawned at (1200, 1550), health: 3, behavior: PATROL, player_found: yes
[05:14:52] [INFO] [GameManager] Debug mode toggled: ON
[05:15:42] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:42] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:43] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:43] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:43] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:45] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:45] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:45] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:45] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:45] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:45] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:47] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:48] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:48] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:48] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:48] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:48] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:50] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:50] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:50] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:50] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:50] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:50] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:52] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:52] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:52] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:53] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:53] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:53] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:54] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:54] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:54] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:56] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:56] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:56] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:56] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:15:56] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:15:56] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:15:58] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:15:58] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:15:58] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:15:58] [ENEMY] [Enemy3] State: COMBAT -> RETREATING
[05:15:58] [ENEMY] [Enemy3] State: RETREATING -> IN_COVER
[05:15:58] [ENEMY] [Enemy3] State: IN_COVER -> SUPPRESSED
[05:15:58] [ENEMY] [Enemy10] State: COMBAT -> RETREATING
[05:15:58] [ENEMY] [Enemy10] State: RETREATING -> IN_COVER
[05:15:58] [ENEMY] [Enemy10] State: IN_COVER -> SUPPRESSED
[05:16:01] [ENEMY] [Enemy10] State: SUPPRESSED -> IN_COVER
[05:16:01] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:16:03] [ENEMY] [Enemy3] State: SUPPRESSED -> IN_COVER
[05:16:03] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:03] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:16:03] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:16:03] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:16:05] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:16:05] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:16:05] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:06] [ENEMY] [Enemy10] State: COMBAT -> SEEKING_COVER
[05:16:06] [ENEMY] [Enemy10] State: SEEKING_COVER -> IN_COVER
[05:16:06] [ENEMY] [Enemy10] State: IN_COVER -> COMBAT
[05:16:06] [ENEMY] [Enemy3] State: COMBAT -> RETREATING
[05:16:06] [ENEMY] [Enemy3] State: RETREATING -> IN_COVER
[05:16:06] [ENEMY] [Enemy3] State: IN_COVER -> SUPPRESSED
[05:16:07] [ENEMY] [Enemy1] Enemy spawned at (300, 350), health: 3, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy2] Enemy spawned at (400, 550), health: 3, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy3] Enemy spawned at (700, 750), health: 2, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy4] Enemy spawned at (800, 900), health: 3, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy5] Enemy spawned at (1700, 350), health: 2, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy6] Enemy spawned at (1950, 450), health: 4, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy7] Enemy spawned at (1600, 900), health: 4, behavior: PATROL, player_found: yes
[05:16:07] [ENEMY] [Enemy8] Enemy spawned at (1900, 1450), health: 4, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy9] Enemy spawned at (2100, 1550), health: 2, behavior: GUARD, player_found: yes
[05:16:07] [ENEMY] [Enemy10] Enemy spawned at (1200, 1550), health: 4, behavior: PATROL, player_found: yes
[05:16:08] [ENEMY] [Enemy10] State: IDLE -> COMBAT
[05:16:08] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:16:10] [ENEMY] [Enemy3] State: IDLE -> COMBAT
[05:16:10] [ENEMY] [Enemy3] State: COMBAT -> PURSUING
[05:16:13] [ENEMY] [Enemy3] State: PURSUING -> COMBAT
[05:16:16] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:16:16] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:16:16] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:17] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:16:17] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:16:17] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:16:19] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:16:19] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:16:19] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:21] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:16:21] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:16:21] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:22] [ENEMY] [Enemy10] State: PURSUING -> FLANKING
[05:16:22] [ENEMY] [Enemy10] State: FLANKING -> COMBAT
[05:16:22] [ENEMY] [Enemy10] State: COMBAT -> PURSUING
[05:16:24] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:16:24] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:16:24] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:26] [ENEMY] [Enemy3] State: COMBAT -> SEEKING_COVER
[05:16:27] [ENEMY] [Enemy3] State: SEEKING_COVER -> IN_COVER
[05:16:27] [ENEMY] [Enemy3] State: IN_COVER -> COMBAT
[05:16:29] [INFO] ------------------------------------------------------------
[05:16:29] [INFO] GAME LOG ENDED: 2026-01-18T05:16:29
[05:16:29] [INFO] ============================================================
