keys,en,ru
ITEM_HOMING_BULLETS_DESC,"Press Space to activate — bullets steer toward the nearest enemy. 2 charges, each lasts 1.2 seconds.","Нажмите Пробел — пули наводятся на ближайшего врага. 2 заряда, каждый длится 1.2 секунды."
ITEM_TELEPORT_BRACERS_NAME,Teleport Bracers,Браслеты телепортации
ITEM_TELEPORT_BRACERS_DESC,Hold Space to aim and release to teleport. 6 charges. Reticle skips through walls.,Удерживайте Пробел для прицеливания и отпустите для телепортации. 6 зарядов. Прицел проходит сквозь стены.
ITEM_BFF_PENDANT_NAME,BFF Pendant,Кулон BFF
ITEM_BFF_PENDANT_DESC,Press Space to summon a friendly companion armed with M16. One charge per battle.,Нажмите Пробел чтобы призвать союзника с M16. Один заряд на бой.
ITEM_INVISIBILITY_NAME,Invisibility,Невидимость
ITEM_INVISIBILITY_DESC,Press Space to cloak. Enemies cannot see you for 4 seconds. 2 charges per battle.,Нажмите Пробел для активации маскировки. Враги не видят вас 4 секунды. 2 заряда на бой.
ITEM_BREAKER_BULLETS_NAME,Breaker Bullets,Пули с превзрывателем
ITEM_BREAKER_BULLETS_DESC,"Passive: bullets explode before hitting a wall, dealing damage and releasing shrapnel in a forward cone.","Пассивный: пули взрываются перед стеной, нанося урон и выпуская осколки вперёд."
ITEM_FORCE_FIELD_NAME,Force Field,Силовое поле
ITEM_FORCE_FIELD_DESC,Hold Space to activate a glowing shield. 100% projectile reflection. 8-second charge.,Удерживайте Пробел для активации щита. 100% отражение снарядов. Заряд 8 секунд.
ITEM_TRAJECTORY_GLASSES_NAME,Trajectory Glasses,Очки траектории
ITEM_TRAJECTORY_GLASSES_DESC,"Press Space to see ricochet trajectories for 10 seconds. 2 charges per battle. Passive: +30% ricochet chance at valid angles.","Нажмите Пробел чтобы видеть траектории рикошетов 10 секунд. 2 заряда на бой. Пассивный: +30% шанс рикошета на допустимых углах."
ITEM_LASER_SIGHT_NAME,Laser Sight,Лазерный прицел
ITEM_LASER_SIGHT_DESC,Passive: adds a purple laser sight to all weapons regardless of difficulty.,Пассивный: добавляет фиолетовый лазерный прицел ко всему оружию.
ITEM_EXTENDED_MAGAZINE_NAME,Extended Magazine,Расширенный магазин
ITEM_EXTENDED_MAGAZINE_DESC,Passive: increases magazine size by 2.5x but reduces total ammo by 5%.,Пассивный: увеличивает магазин в 2.5 раза но уменьшает общий запас патронов на 5%.
ITEM_LOUDSPEAKER_NAME,Loudspeaker,Громкоговоритель
ITEM_LOUDSPEAKER_DESC,???,???
ITEM_BREACHING_CHARGES_NAME,Breaching Charges,Пробивные заряды
ITEM_BREACHING_CHARGES_DESC,"Hold Space near a wall to place a charge. Press Space to detonate — blasts open a passage. 2 charges. Stuns enemies on the other side for 3 seconds.","Удерживайте Пробел у стены чтобы заложить заряд. Нажмите Пробел для детонации — пробивает проход. 2 заряда. Оглушает врагов за стеной на 3 секунды."
ITEM_ARMORED_SKIN_NAME,Armored Skin,Бронированная кожа
ITEM_ARMORED_SKIN_DESC,"Passive: +1 HP. When at 2 HP or less and hit, 20 glass shards explode outward.","Пассивный: +1 HP. При попадании с 2 HP и менее — 20 стеклянных осколков разлетаются во все стороны."
ITEM_AUTO_RELOAD_NAME,Auto-Reload,Автоперезарядка
ITEM_AUTO_RELOAD_DESC,Passive: magazine capacity reduced 2.1x but fully restocked on each kill.,Пассивный: ёмкость магазина уменьшена в 2.1 раза но полностью пополняется с каждым убийством.
ITEM_DRILLING_BULLETS_NAME,Drilling Bullets,Бурящие пули
ITEM_DRILLING_BULLETS_DESC,Press Space to apply wall-piercing effect to the current magazine. Bullets ignore walls. One charge per battle.,Нажмите Пробел для активации пробивания стен на текущий магазин. Пули игнорируют стены. Один заряд на бой.
ITEM_RECOIL_COMPENSATOR_NAME,Recoil Compensator,Компенсатор отдачи
ITEM_RECOIL_COMPENSATOR_DESC,Hold Space to eliminate recoil and increase fire rate by 10%. 15-second charge.,Удерживайте Пробел чтобы устранить отдачу и увеличить скорострельность на 10%. Заряд 15 секунд.
ITEM_COMBAT_DISPOSITION_NAME,Combat Disposition,Боевой настрой
ITEM_COMBAT_DISPOSITION_DESC,"Passive: +damage, +fire rate, x2 speed on start. Taking damage reduces stats.","Пассивный: +урон, +скорострельность, x2 скорость в начале. Получение урона снижает характеристики."
ITEM_EXPERIMENTAL_SAMPLE_NAME,Experimental Sample,Экспериментальный образец
ITEM_EXPERIMENTAL_SAMPLE_DESC,Press Space to trigger a random active item effect. 1–5 charges per battle.,Нажмите Пробел для случайного эффекта активного предмета. 1–5 зарядов на бой.
ITEM_FINE_MOTOR_SKILLS_NAME,Fine Motor Skills,Хорошая мелкая моторика
ITEM_FINE_MOTOR_SKILLS_DESC,Press Space to instantly reload weapon. Works with all weapons. Unlimited charges.,Нажмите Пробел для мгновенной перезарядки. Работает со всем оружием. Неограниченные заряды.
ITEM_DASH_NAME,Dash,Рывок
ITEM_DASH_DESC,"Press Space to dash in movement direction. Immune to damage during dash. 3 charges, cooldown after all spent.","Нажмите Пробел для рывка в направлении движения. Неуязвимы во время рывка. 3 заряда, перезарядка после всех."
ITEM_GRENADE_BAG_NAME,Grenade Bag,Мешок с гранатами
ITEM_GRENADE_BAG_DESC,"Passive: increases starting grenade count based on type: 12 flash, 6 frag, 2 gas or F-1.","Пассивный: увеличивает начальное количество гранат: 12 световых, 6 осколочных, 2 газовых или Ф-1."
LEVEL_LABYRINTH_NAME,Labyrinth,Лабиринт
LEVEL_LABYRINTH_DESC,Labyrinth of technical rooms with narrow corridors and enclosed spaces.,Лабиринт технических помещений с узкими коридорами.
LEVEL_BUILDING_NAME,Building Level,Здание
LEVEL_BUILDING_DESC,Hotline Miami style building with interconnected rooms and corridors. Features a grenadier enemy.,Здание в стиле Hotline Miami с взаимосвязанными комнатами. Есть гренадер.
LEVEL_POLYGON_NAME,Polygon,Полигон
LEVEL_POLYGON_DESC,Open training ground for testing weapons and practicing combat skills.,Открытый полигон для проверки оружия и отработки боевых навыков.
LEVEL_CASTLE_NAME,Castle,Замок
LEVEL_CASTLE_DESC,Medieval fortress assault across a massive oval-shaped courtyard.,Штурм средневековой крепости с огромным овальным двором.
LEVEL_DOUBLE_CORRIDOR_NAME,Double Corridor,Двойной Коридор
LEVEL_DOUBLE_CORRIDOR_DESC,"H-shaped map with two parallel corridors: penetration zones for multi-enemy kills and cover for reloading.","Карта в форме H с двумя параллельными коридорами: зоны пробития для групповых убийств и укрытия для перезарядки."
LEVEL_CITY_NAME,City,Город
LEVEL_CITY_DESC,Large urban map with enterable buildings and street combat.,Большая городская карта с доступными зданиями и уличными боями.
LEVEL_BEACH_NAME,Beach,Пляж
LEVEL_BEACH_DESC,Outdoor beach environment with machete-wielding enemies and scattered cover.,Открытый пляж с врагами с мачете и разрозненными укрытиями.
LEVEL_DOCKS_NAME,Docks,Доки
LEVEL_DOCKS_DESC,Large industrial docks with shipping containers and open areas between cover zones.,Большие промышленные доки с контейнерами и открытыми зонами между укрытиями.
LEVEL_FACTORY_NAME,Factory,Завод
LEVEL_FACTORY_DESC,"Industrial factory with interconnected rooms. 13 heavily armored enemies, max 2 per room.","Промышленный завод с взаимосвязанными помещениями. 13 тяжелобронированных врагов, максимум 2 в комнате."
LEVEL_DECADENCE_NAME,Decadence,Декаданс
LEVEL_DECADENCE_DESC,Neon nightclub with dance floor and VIP rooms. Synthwave aesthetic.,Неоновый ночной клуб с танцполом и VIP-зонами. Эстетика синтвейва.
LEVEL_LABYRINTH_COMPLEX_NAME,Labyrinth Complex,Лабиринт Комплекс
LEVEL_LABYRINTH_COMPLEX_DESC,"Larger labyrinth with 3 rows of rooms and 17 enemies including a grenadier, armored M16, and machine gunner.","Лабиринт с 3 рядами комнат и 17 врагами: гренадер, бронированный M16 и пулемётчик."
LEVEL_SEWER_NAME,Sewer,Канализация
LEVEL_SEWER_DESC,Underground sewer corridor with narrow passages and a fork. Dark and dangerous.,Подземный канализационный коридор с узкими проходами и развилкой. Темно и опасно.
LEVEL_WINTER_FOREST_NAME,Winter Forest,Зимний лес
LEVEL_WINTER_FOREST_DESC,Winter forest with sparse trees and an open clearing with small cover.,Зимний лес с редкими деревьями и открытой поляной с небольшими укрытиями.
LEVEL_RAILWAY_STATION_NAME,Railway Station,ЖД Станция
LEVEL_RAILWAY_STATION_DESC,"Cross the railway station: platform, train tracks, and snow embankment.","Пересеки железнодорожную станцию: платформа, рельсы и снежная насыпь."
LEVEL_LOCKED_DESC,Complete the previous level to unlock,Пройдите предыдущий уровень чтобы разблокировать
LEVEL_LOCKED_TOOLTIP,Complete the previous level to unlock %s,Пройдите предыдущий уровень чтобы разблокировать %s
LEVEL_LOAD_TOOLTIP,Click to load %s,Нажмите для загрузки %s
LEVEL_PLAYING,PLAYING,ИГРАЮ
LEVEL_CURRENTLY_PLAYING,Currently playing this level,Сейчас играю на этом уровне
ARMORY_STAT_FIRE_MODE,Fire Mode,Режим огня
ARMORY_STAT_FIRE_MODE_AUTO,Auto,Авто
ARMORY_STAT_FIRE_MODE_SEMI,Semi-Auto,Полуавтомат
ARMORY_STAT_CALIBER,Caliber,Калибр
ARMORY_STAT_DAMAGE,Damage,Урон
ARMORY_STAT_PELLETS,x%d pellets,x%d картечи
ARMORY_STAT_RATE,Rate,Скорострельность
ARMORY_STAT_MAG,Mag,Магазин
ARMORY_STAT_RESERVE,Reserve,Запас
ARMORY_STAT_RELOAD,Reload,Перезарядка
ARMORY_STAT_RANGE,Range,Дальность
ARMORY_STAT_SPREAD,Spread,Разброс
ARMORY_STAT_LOUDNESS,Loudness,Громкость
ARMORY_STAT_SILENT,Silent,Бесшумный
ARMORY_STAT_BALLISTICS,Ballistics,Баллистика
ARMORY_STAT_RICOCHET,Ricochet,Рикошет
ARMORY_STAT_WALL_PEN,Wall Pen. (%dpx),Пробитие стен (%dпкс)
ARMORY_STAT_STANDARD,Standard,Стандартная
ARMORY_GRENADE_THROW_HINT,Press G + RMB drag to throw,Нажми G + ПКМ для броска
ITEM_HINT_HOLD_SPACE_ACTIVATE,Hold Space to activate,Удержи Пробел для активации
ITEM_HINT_HOLD_SPACE_AIM_RELEASE_TELEPORT,Hold Space to aim release to teleport,Удержи Пробел для прицела отпусти для телепортации
ITEM_HINT_PRESS_SPACE_SUMMON,Press Space to summon,Нажми Пробел для призыва
ITEM_HINT_PRESS_SPACE_ACTIVATE,Press Space to activate,Нажми Пробел для активации
ITEM_HINT_HOLD_SPACE_NEAR_WALL,"Hold Space near wall to place, press Space to detonate","Удержи Пробел у стены чтобы заложить, нажми Пробел для детонации"
ITEM_HINT_PRESS_SPACE_RANDOM,Press Space to trigger random effect,Нажми Пробел для случайного эффекта
ITEM_HINT_PRESS_SPACE_RELOAD,Press Space to reload,Нажми Пробел для перезарядки
ITEM_HINT_PRESS_SPACE_DASH,Press Space to dash,Нажми Пробел для рывка
HINT_RELOAD_2STEP_0,[R] [R] Reload,[R] [R] Перезарядись
HINT_RELOAD_2STEP_1,[R] [R] Reload,[R] [R] Перезарядись
HINT_RELOAD_3STEP_0,[R] [F] [R] Reload,[R] [F] [R] Перезарядись
HINT_RELOAD_3STEP_1,[R] [F] [R] Reload,[R] [F] [R] Перезарядись
HINT_RELOAD_3STEP_2,[R] [F] [R] Reload,[R] [F] [R] Перезарядись
HINT_RELOAD_WORD,Reload,Перезарядись
HINT_KEY_R_OPEN,R open,R открыть
HINT_KEY_RMB_UP_BULLET,RMB↑ bullet,ПКМ↑ патрон
HINT_KEY_SCROLL,scroll,скролл
HINT_KEY_R_CLOSE,R close,R закрыть
HINT_KEY_RMB_UP_OPEN,RMB↑ open,ПКМ↑ открыть
HINT_KEY_MMB_RMB_DOWN,MMB+RMB↓ x%d,СКМ+ПКМ↓ x%d
HINT_KEY_RMB_DOWN_CLOSE,RMB↓ close,ПКМ↓ закрыть
HINT_KEY_GRENADE_ARM,G+RMB right,G+ПКМ вправо
HINT_KEY_GRENADE_AIM,G+RMB→release G,G+ПКМ→отпусти G
HINT_KEY_GRENADE_THROW,RMB throw,ПКМ бросок
HINT_BOLT_ACTION_WORD,Cock the bolt,Передёрни затвор
HINT_COCK_HAMMER,Cock the hammer,Взведи курок
HINT_SCOPE,Scope in,Прицелься через оптику
HINT_FIRE_MODE_SWITCH,Switch fire mode,Переключи режим стрельбы
HINT_LAUNCHER_FIRE,Fire grenade launcher,Выстрели подствольным гранатомётом
HINT_GRENADE_STEP0,Throw grenade,Брось гранату
TUTORIAL_LEVEL_COMPLETE,LEVEL COMPLETE!,УРОВЕНЬ ПРОЙДЕН!
TUTORIAL_RESTART_HINT,Hold [Q] for 1 second to quick restart,Удерживай [Q] 1 секунду для быстрого перезапуска
TUTORIAL_AMMO_LABEL,AMMO: %d/%d,ПАТРОНЫ: %d/%d
ROGUELIKE_LEVEL_UP,"LEVEL %d\nEnemies got more dangerous!","УРОВЕНЬ %d\nВраги стали опаснее!"
UNLOCK_COND_COMPLETE_LEVEL,Complete %s,Пройди %s
UNLOCK_COND_COMPLETE_LEVEL_AT_RANK,Complete %s at rank %s or higher,Пройди %s на ранге %s или выше
UNLOCK_COND_COMPLETE_MULTI,"Complete: %s","Пройди: %s"
UNLOCK_COND_ALL_DIFFICULTIES,Complete at least one level on every difficulty,Пройди хотя бы один уровень на каждой сложности
UNLOCK_COND_KILLS_NO_LASER,Get %d kills without Laser Sight,Получи %d убийств без Лазерного Прицела
UNLOCK_COND_SHOTS_SPECIAL_WEAPONS,"Fire %d shots with shotgun, ASVK, or revolver","Сделай %d выстрелов из дробовика, АСВК или револьвера"
UNLOCK_COND_TOTAL_DEATHS,Die %d times,Умри %d раз
UNLOCK_COND_NO_DAMAGE_LEVELS,Complete %d level(s) without taking damage,Пройди %d уровень(уровней) без урона
UNLOCK_COND_RANK_A_LEVELS,Complete %d level(s) at rank A or higher,Пройди %d уровень(уровней) на ранге A или выше
UNLOCK_COND_WALL_KILLS,Get %d kills through walls,Получи %d убийств сквозь стены
UNLOCK_COND_SILENCED_PISTOL_LEVEL,Complete any level with the silenced pistol,Пройди любой уровень с глушителем
UNLOCK_COND_PROGRESS,Progress: %d / %d,Прогресс: %d / %d
